Source,Target,Type,Id,Label,timeset,Weight,TYPE
315,735,Directed,1056,NEXT_WORD,,1,NEXT_WORD
315,798,Directed,1231,NEXT_WORD,,1,NEXT_WORD
315,912,Directed,1613,NEXT_WORD,,1,NEXT_WORD
315,479,Directed,1863,NEXT_WORD,,1,NEXT_WORD
315,1005,Directed,2229,NEXT_WORD,,1,NEXT_WORD
315,578,Directed,2253,NEXT_WORD,,1,NEXT_WORD
315,615,Directed,2256,NEXT_WORD,,1,NEXT_WORD
315,689,Directed,2455,NEXT_WORD,,1,NEXT_WORD
315,1113,Directed,2500,NEXT_WORD,,1,NEXT_WORD
315,544,Directed,2948,NEXT_WORD,,1,NEXT_WORD
315,884,Directed,3058,NEXT_WORD,,1,NEXT_WORD
315,343,Directed,3086,NEXT_WORD,,1,NEXT_WORD
315,1298,Directed,3223,NEXT_WORD,,1,NEXT_WORD
315,1506,Directed,4051,NEXT_WORD,,1,NEXT_WORD
315,677,Directed,4054,NEXT_WORD,,1,NEXT_WORD
315,987,Directed,4066,NEXT_WORD,,1,NEXT_WORD
315,513,Directed,4401,NEXT_WORD,,1,NEXT_WORD
315,342,Directed,4518,NEXT_WORD,,1,NEXT_WORD
315,749,Directed,4527,NEXT_WORD,,1,NEXT_WORD
315,1630,Directed,4567,NEXT_WORD,,1,NEXT_WORD
315,1690,Directed,4905,NEXT_WORD,,1,NEXT_WORD
315,724,Directed,4950,NEXT_WORD,,1,NEXT_WORD
315,636,Directed,5137,NEXT_WORD,,1,NEXT_WORD
315,914,Directed,5230,NEXT_WORD,,1,NEXT_WORD
874,315,Directed,16892,NEXT_WORD,,1,NEXT_WORD
2676,315,Directed,16474,NEXT_WORD,,1,NEXT_WORD
2950,315,Directed,16311,NEXT_WORD,,1,NEXT_WORD
507,315,Directed,16176,NEXT_WORD,,1,NEXT_WORD
2776,315,Directed,15983,NEXT_WORD,,1,NEXT_WORD
890,315,Directed,15826,NEXT_WORD,,1,NEXT_WORD
448,315,Directed,15692,NEXT_WORD,,1,NEXT_WORD
3290,315,Directed,14660,NEXT_WORD,,1,NEXT_WORD
1404,315,Directed,13008,NEXT_WORD,,1,NEXT_WORD
2888,315,Directed,12543,NEXT_WORD,,1,NEXT_WORD
1718,315,Directed,12340,NEXT_WORD,,1,NEXT_WORD
697,315,Directed,12087,NEXT_WORD,,1,NEXT_WORD
915,315,Directed,10894,NEXT_WORD,,1,NEXT_WORD
2739,315,Directed,10746,NEXT_WORD,,1,NEXT_WORD
1858,315,Directed,10504,NEXT_WORD,,1,NEXT_WORD
665,315,Directed,10228,NEXT_WORD,,1,NEXT_WORD
1120,315,Directed,9896,NEXT_WORD,,1,NEXT_WORD
2027,315,Directed,9786,NEXT_WORD,,1,NEXT_WORD
531,315,Directed,8503,NEXT_WORD,,1,NEXT_WORD
754,315,Directed,8398,NEXT_WORD,,1,NEXT_WORD
967,315,Directed,7656,NEXT_WORD,,1,NEXT_WORD
317,315,Directed,7464,NEXT_WORD,,1,NEXT_WORD
604,315,Directed,5984,NEXT_WORD,,1,NEXT_WORD
1921,315,Directed,5862,NEXT_WORD,,1,NEXT_WORD
672,315,Directed,5464,NEXT_WORD,,1,NEXT_WORD
1796,315,Directed,5331,NEXT_WORD,,1,NEXT_WORD
727,315,Directed,1033,NEXT_WORD,,1,NEXT_WORD
734,315,Directed,1054,NEXT_WORD,,1,NEXT_WORD
543,315,Directed,1230,NEXT_WORD,,1,NEXT_WORD
405,315,Directed,1612,NEXT_WORD,,1,NEXT_WORD
721,315,Directed,1862,NEXT_WORD,,1,NEXT_WORD
3581,315,Directed,2228,NEXT_WORD,,1,NEXT_WORD
691,315,Directed,2255,NEXT_WORD,,1,NEXT_WORD
343,315,Directed,2454,NEXT_WORD,,1,NEXT_WORD
638,315,Directed,2498,NEXT_WORD,,1,NEXT_WORD
1087,315,Directed,2946,NEXT_WORD,,1,NEXT_WORD
